center_x,center_y,left_x,left_y,right_x,right_y,left_center_x,left_center_y,right_center_x,right_center_y,road_speed,rightcenter_cur,leftcenter_cur,in_bend
431.606749236174,-240.773276761923,431.509511144191,-237.024537673447,431.703987328157,-244.522015850399,431.558130190183,-238.898907217685,431.655368282166,-242.647646306161,11.0279399779436,0,0,1
432.106581114637,-240.760311682992,432.009444713746,-237.011569958143,432.203717515528,-244.509053407841,432.058012914191,-238.885940820568,432.155149315082,-242.634682545417,11.0464765692093,0,0,1
432.606413344559,-240.747360162875,432.509569814412,-236.998610860685,432.703256874707,-244.496109465065,432.557991579485,-238.87298551178,432.654835109633,-242.62173481397,11.0649821071275,0,0,1
433.106246584624,-240.734447692194,433.009891173695,-236.985685811949,433.202601995554,-244.48320957244,433.05806887916,-238.860066752072,433.154424290089,-242.608828632317,11.0834567472433,0,0,1
433.606081501481,-240.721600304084,433.5104094602,-236.972820921336,433.701753542762,-244.470379686832,433.55824548084,-238.84721061271,433.653917522122,-242.595989995458,11.1019006438076,0,0,1
434.105918751609,-240.708844031936,434.011125333116,-236.960042329017,434.200712170103,-244.457645734855,434.058522042362,-238.834443180476,434.153315460856,-242.583244883395,11.1111111111111,0,0,1
434.605758977252,-240.696204909506,434.512039438121,-236.947376206033,434.699478516383,-244.445033612979,434.558899207686,-238.821790557769,434.652618746817,-242.570619261242,11.1111111111111,0,0,1
435.105602802347,-240.683708971006,435.013152403279,-236.934848754392,435.198053201414,-244.43256918762,435.059377602813,-238.809278862699,435.151828001881,-242.558139079313,11.1111111111111,0,0,1
435.605450828459,-240.671382251198,435.51446483493,-236.922486207163,435.696436821989,-244.420278295233,435.559957831695,-238.796934229181,435.650943825224,-242.545830273216,11.1111111111111,0,0,1
436.105303630714,-240.659250785482,436.015977313566,-236.910314828565,436.194629947862,-244.408186742399,436.06064047214,-238.784782807024,436.149966789288,-242.533718763941,11.1111111111111,0,0,1
436.605161753726,-240.647340609972,436.517690389707,-236.898360914044,436.692633117744,-244.396320305899,436.561426071716,-238.772850762008,436.648897435735,-242.521830457935,11.1111111111111,0.00103689713930188,0.00102767230263304,1
437.105025707532,-240.635677761568,437.019604579762,-236.886650790348,437.190446835301,-244.384704732787,437.062315143647,-238.761164275958,437.147736271417,-242.510191247177,11.1111111111111,0.00112850382795431,0.00112004458103355,1
437.604895963524,-240.624288278021,437.521720361888,-236.875210815592,437.688071565159,-244.37336574045,437.563308162706,-238.749749546806,437.646483764341,-242.498827009235,11.1111111111111,0.00122277992697212,0.00121494681682237,1
438.104772950377,-240.613198197983,438.024038171836,-236.864067379309,438.185507728918,-244.362329016658,438.064405561107,-238.738632788646,438.145140339648,-242.487763607321,11.1111111111111,0.00131940761675942,0.00131202049899784,1
438.604657049984,-240.60243356105,438.52655839879,-236.853246902496,438.682755701179,-244.351620219605,438.565607724387,-238.727840231773,438.643706375581,-242.477026890327,11.1111111111111,0.00141806311304769,0.00141090539098974,1
439.104548593383,-240.592020407788,439.029281381199,-236.842775837642,439.179815805567,-244.341264977934,439.066914987291,-238.717398122715,439.142182199475,-242.466642692861,11.1111111111111,0.00151842273383941,0.00151124743725117,1
439.604447856688,-240.581984779752,439.5322074026,-236.832680668748,439.676688310777,-244.331288890757,439.568327629644,-238.70733272425,439.640568083733,-242.456636835255,11.1111111111111,0.00162016948073029,0.0016127072981682,1
440.104355057023,-240.572352719486,440.035336687434,-236.822987911327,440.173373426612,-244.321717527645,440.069845872228,-238.697670315407,440.138864241817,-242.447035123565,11.1111111111111,0.00172300013854064,0.00171496950368079,1
440.604270348447,-240.563150270508,440.538669396852,-236.813724112394,440.669871300041,-244.312576428622,440.571469872649,-238.688437191451,440.637070824244,-242.437863349565,11.1111111111111,0.00182663289795313,0.00181775221625652,1
